                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7242,                 1.3679,                0.98634,                0.44914,                0.19027,                0.11716,                0.06466,                 1.8764,                 71.563,                0.95402,               0.067021,             0.00033312,             0.00033312
                      2,                 1.3444,                0.83408,                0.90109,                0.71651,                 0.8922,                0.87753,                0.47308,                 1.7462,                 44.303,                0.91181,               0.034021,             0.00066629,             0.00066629
                      3,                 1.2524,                0.77095,                0.88467,                0.83884,                0.60718,                 0.8119,                0.51402,                  1.305,                 34.637,                0.83271,              0.0010202,             0.00099881,             0.00099881
                      4,                 1.1588,                0.70835,                0.87084,                0.78547,                0.83286,                0.81741,                0.46424,                 2.0046,                 24.972,                 1.0851,              0.0009978,              0.0009978,              0.0009978
                      5,                 1.0901,                 0.6584,                0.85916,                0.84027,                0.88128,                0.86448,                0.59816,                 1.1616,                  31.62,                0.80653,              0.0009978,              0.0009978,              0.0009978
                      6,                 1.0652,                0.63694,                0.85701,                0.86012,                0.92306,                0.90068,                0.52031,                 1.7426,                 26.967,                0.94743,              0.0009961,              0.0009961,              0.0009961
                      7,                 1.0409,                 0.6234,                0.85249,                0.72712,                0.87545,                0.85944,                 0.5532,                 1.3338,                 29.613,                0.82869,             0.00099391,             0.00099391,             0.00099391
                      8,                 1.0241,                0.60864,                0.85172,                0.85709,                 0.9248,                0.91362,                0.60786,                 1.2399,                 26.876,                0.80492,             0.00099123,             0.00099123,             0.00099123
                      9,                 1.0055,                0.59367,                0.84827,                0.78033,                0.94129,                0.90955,                0.56411,                 1.4162,                 38.517,                0.84585,             0.00098808,             0.00098808,             0.00098808
                     10,                 1.0064,                0.58893,                0.84715,                0.86462,                0.93933,                0.93642,                0.66325,                 1.1389,                 19.658,                0.79613,             0.00098445,             0.00098445,             0.00098445
                     11,                0.99046,                0.58152,                0.84673,                0.83977,                0.86937,                 0.8615,                0.67695,                0.83255,                 33.908,                0.74253,             0.00098035,             0.00098035,             0.00098035
                     12,                0.98555,                0.58077,                0.84461,                0.85916,                0.93077,                0.92224,                0.64443,                 1.0727,                 39.681,                0.76838,             0.00097577,             0.00097577,             0.00097577
                     13,                 0.9705,                0.56832,                0.84275,                0.83376,                0.92237,                0.95842,                0.72486,                0.85306,                 34.817,                0.74544,             0.00097074,             0.00097074,             0.00097074
                     14,                0.97027,                0.56643,                 0.8417,                0.87121,                0.96173,                0.93345,                0.69957,                0.88859,                 40.482,                0.74966,             0.00096524,             0.00096524,             0.00096524
                     15,                0.96319,                0.56001,                0.84129,                0.86933,                0.95082,                0.94803,                0.63806,                 1.2863,                 31.923,                0.82484,             0.00095929,             0.00095929,             0.00095929
                     16,                0.95751,                0.55566,                 0.8386,                0.86941,                0.96307,                 0.9528,                0.70541,                0.85319,                 37.024,                0.74438,             0.00095289,             0.00095289,             0.00095289
                     17,                0.95059,                0.55329,                0.83869,                0.81594,                0.94075,                0.95905,                0.73687,                0.81195,                 42.511,                0.74083,             0.00094605,             0.00094605,             0.00094605
                     18,                0.94359,                0.54649,                0.83691,                0.87421,                0.94469,                0.95378,                0.71044,                0.87907,                 23.516,                 0.7464,             0.00093877,             0.00093877,             0.00093877
                     19,                0.94796,                0.54834,                0.83864,                 0.8698,                0.96031,                0.94879,                0.72235,                0.88175,                 31.175,                0.74825,             0.00093107,             0.00093107,             0.00093107
                     20,                0.93815,                0.54705,                0.83619,                0.86465,                0.94343,                0.92953,                0.64716,                 1.0718,                 35.654,                0.76989,             0.00092294,             0.00092294,             0.00092294
                     21,                0.93102,                0.53812,                0.83626,                0.79312,                 0.7541,                0.81464,                0.62198,                0.84033,                 33.373,                0.74839,              0.0009144,              0.0009144,              0.0009144
                     22,                0.93163,                0.53829,                0.83586,                0.87149,                0.95476,                0.94631,                0.72288,                0.84082,                 36.386,                 0.7393,             0.00090546,             0.00090546,             0.00090546
                     23,                0.94048,                0.54337,                0.83704,                0.87535,                0.96916,                0.94342,                0.72677,                 0.8302,                 40.368,                0.74185,             0.00089613,             0.00089613,             0.00089613
                     24,                0.93282,                0.53347,                 0.8359,                0.87155,                0.96777,                0.96608,                0.73177,                0.90096,                 30.098,                0.74577,              0.0008864,              0.0008864,              0.0008864
                     25,                 0.9249,                0.53422,                0.83529,                0.87539,                0.96815,                0.93766,                0.70876,                0.89964,                 42.074,                0.74828,              0.0008763,              0.0008763,              0.0008763
                     26,                0.92749,                0.53502,                0.83529,                0.86859,                0.97023,                0.94871,                0.73297,                0.81045,                 37.486,                0.73632,             0.00086584,             0.00086584,             0.00086584
                     27,                0.92467,                0.52601,                0.83533,                0.87521,                 0.9697,                0.93009,                0.73346,                0.76677,                  39.65,                0.73299,             0.00085502,             0.00085502,             0.00085502
                     28,                0.91745,                0.52685,                0.83392,                0.87542,                0.96779,                0.92697,                0.72455,                0.76964,                 42.544,                0.73141,             0.00084385,             0.00084385,             0.00084385
                     29,                0.91637,                0.52395,                0.83378,                0.86882,                0.95652,                0.94582,                0.68182,                 1.0691,                 47.789,                0.76989,             0.00083235,             0.00083235,             0.00083235
                     30,                0.91678,                0.52587,                0.83321,                0.87589,                0.96802,                0.93773,                0.74375,                0.74074,                 39.594,                0.72921,             0.00082052,             0.00082052,             0.00082052
                     31,                0.91301,                0.52215,                0.83253,                 0.8713,                0.96727,                0.95256,                0.74662,                0.77673,                 34.776,                0.73307,             0.00080839,             0.00080839,             0.00080839
                     32,                0.90501,                0.51861,                0.83263,                0.87373,                0.97163,                0.95184,                0.74763,                0.77567,                 40.824,                0.73359,             0.00079595,             0.00079595,             0.00079595
                     33,                 0.9118,                0.51813,                  0.832,                0.87464,                0.97411,                0.95001,                0.75668,                0.74633,                 40.339,                0.73026,             0.00078323,             0.00078323,             0.00078323
                     34,                0.90585,                0.51139,                0.83164,                0.87331,                0.97408,                0.95465,                0.76086,                0.74688,                 40.514,                0.73005,             0.00077023,             0.00077023,             0.00077023
                     35,                0.90611,                0.51549,                0.83267,                0.87458,                0.97193,                0.94812,                0.75401,                 0.7427,                 40.832,                0.72883,             0.00075698,             0.00075698,             0.00075698
                     36,                0.89708,                0.51058,                0.83078,                0.87626,                0.97401,                 0.9629,                0.75193,                0.80995,                  42.56,                0.73686,             0.00074347,             0.00074347,             0.00074347
                     37,                0.90189,                0.50581,                0.83048,                0.87523,                0.97363,                0.96252,                0.75979,                0.76577,                 38.155,                0.73076,             0.00072973,             0.00072973,             0.00072973
                     38,                0.88851,                0.50146,                0.82874,                0.87549,                 0.9735,                0.96606,                0.76741,                0.75004,                 39.737,                 0.7289,             0.00071576,             0.00071576,             0.00071576
                     39,                0.89434,                0.49878,                0.83049,                0.87733,                0.97291,                0.96381,                0.75761,                0.77801,                  38.69,                0.73163,             0.00070159,             0.00070159,             0.00070159
                     40,                0.89457,                0.50301,                0.82997,                 0.8764,                0.97447,                0.96462,                0.76466,                0.74843,                 41.116,                0.72924,             0.00068722,             0.00068722,             0.00068722
                     41,                0.88578,                0.49888,                0.82964,                0.87618,                0.97377,                  0.971,                 0.7727,                0.74232,                 40.219,                 0.7292,             0.00067268,             0.00067268,             0.00067268
                     42,                0.88501,                 0.4967,                0.82844,                0.87837,                0.97228,                 0.9716,                0.77694,                0.74566,                 39.496,                0.72905,             0.00065796,             0.00065796,             0.00065796
                     43,                0.88734,                0.49732,                0.82819,                0.87747,                0.97439,                0.97124,                0.76566,                0.76476,                 43.312,                0.73095,              0.0006431,              0.0006431,              0.0006431
                     44,                0.87895,                0.49211,                0.82706,                0.87673,                0.97537,                0.97108,                0.77396,                0.74673,                 42.075,                0.72803,              0.0006281,              0.0006281,              0.0006281
                     45,                0.88163,                0.48787,                  0.828,                0.87659,                0.97551,                0.97085,                0.77598,                0.74036,                 41.034,                0.72826,             0.00061298,             0.00061298,             0.00061298
                     46,                0.87732,                0.49094,                0.82809,                0.87683,                0.97576,                0.97054,                0.77619,                0.74387,                 40.702,                0.72862,             0.00059775,             0.00059775,             0.00059775
