                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2035,                 1.3249,                0.94355,                0.87395,                0.95849,                0.93206,                0.70083,                0.96372,                 34.553,                0.76064,               0.070019,              0.0033312,              0.0033312
                      2,                0.92553,                 0.5943,                0.84971,                0.87855,                0.96653,                0.93588,                0.69407,                0.93638,                 34.264,                0.74816,               0.040018,              0.0066629,              0.0066629
                      3,                0.90638,                0.56477,                0.84758,                0.87541,                0.96904,                0.90605,                0.70055,                0.80188,                 43.157,                0.73705,                0.01001,              0.0099881,              0.0099881
                      4,                0.85598,                 0.5184,                 0.8392,                0.87292,                0.97366,                0.92187,                  0.709,                  0.797,                 45.223,                0.73498,               0.009978,               0.009978,               0.009978
                      5,                 0.8079,                 0.4771,                0.83298,                0.87741,                0.97408,                0.92375,                0.71725,                0.79116,                 50.174,                0.73266,               0.009978,               0.009978,               0.009978
                      6,                0.78099,                0.45422,                0.82766,                 0.8776,                0.97636,                0.90991,                0.71758,                0.75733,                 54.059,                0.72954,               0.009961,               0.009961,               0.009961
                      7,                   0.76,                0.43694,                0.82465,                0.87721,                0.97667,                0.91303,                 0.7132,                0.78887,                 55.497,                0.73218,              0.0099391,              0.0099391,              0.0099391
                      8,                0.74984,                0.42501,                0.82322,                0.87987,                0.97823,                0.94737,                0.74935,                0.77255,                 50.795,                 0.7295,              0.0099123,              0.0099123,              0.0099123
                      9,                0.73578,                0.41369,                0.82044,                0.87947,                0.98087,                0.90585,                0.71733,                0.74491,                  56.91,                0.72855,              0.0098808,              0.0098808,              0.0098808
                     10,                0.73025,                0.40838,                0.81978,                0.87874,                0.97952,                  0.904,                0.70906,                0.76135,                 60.291,                0.72869,              0.0098445,              0.0098445,              0.0098445
                     11,                0.71949,                0.39945,                0.81875,                0.87823,                0.98164,                 0.9264,                  0.732,                0.76642,                 59.449,                0.72921,              0.0098035,              0.0098035,              0.0098035
                     12,                0.71416,                0.39731,                0.81757,                0.87882,                0.98058,                0.94185,                0.74742,                0.75495,                 54.055,                0.72867,              0.0097577,              0.0097577,              0.0097577
                     13,                0.70843,                 0.3879,                0.81668,                0.87987,                0.98013,                0.93623,                0.74947,                0.73849,                 59.793,                0.72694,              0.0097074,              0.0097074,              0.0097074
                     14,                0.70075,                0.38333,                0.81583,                0.87904,                0.98149,                0.95789,                0.76481,                0.74151,                 60.247,                0.72695,              0.0096524,              0.0096524,              0.0096524
                     15,                0.69964,                0.38116,                0.81562,                0.87835,                0.98458,                 0.9278,                0.73762,                0.75694,                 58.411,                0.72778,              0.0095929,              0.0095929,              0.0095929
                     16,                0.69273,                0.37633,                0.81445,                0.88009,                0.98485,                0.94755,                0.76009,                0.74262,                 58.716,                0.72664,              0.0095289,              0.0095289,              0.0095289
                     17,                0.68917,                0.37212,                0.81353,                0.88153,                0.98281,                0.95596,                0.76125,                0.74974,                 59.167,                0.72676,              0.0094605,              0.0094605,              0.0094605
                     18,                0.67936,                0.36587,                0.81217,                0.88091,                0.98287,                0.92138,                0.73463,                0.75115,                 63.528,                0.72725,              0.0093877,              0.0093877,              0.0093877
                     19,                0.67513,                0.36388,                0.81209,                0.88072,                0.98454,                0.93327,                0.75069,                0.74216,                 62.174,                0.72669,              0.0093107,              0.0093107,              0.0093107
                     20,                0.66968,                0.35901,                0.81189,                0.88219,                0.98303,                0.94436,                0.75654,                0.74206,                 64.069,                0.72682,              0.0092294,              0.0092294,              0.0092294
                     21,                0.66471,                0.35685,                0.81218,                0.88162,                0.98323,                0.94932,                0.75967,                0.74015,                 60.747,                0.72575,               0.009144,               0.009144,               0.009144
                     22,                0.65892,                0.35202,                0.81064,                0.88246,                0.98283,                0.91606,                0.73469,                 0.7327,                 63.324,                0.72555,              0.0090546,              0.0090546,              0.0090546
                     23,                0.65782,                0.35004,                0.81034,                0.88326,                0.98314,                0.92522,                0.74325,                0.73205,                 64.205,                 0.7251,              0.0089613,              0.0089613,              0.0089613
                     24,                0.65433,                0.34793,                0.81004,                0.88095,                0.98663,                 0.9497,                0.76301,                0.74165,                 60.604,                0.72678,               0.008864,               0.008864,               0.008864
                     25,                0.65029,                0.34491,                0.80981,                0.88183,                0.98633,                0.92887,                0.74972,                0.71851,                 65.226,                0.72503,               0.008763,               0.008763,               0.008763
                     26,                0.64604,                0.34261,                0.80924,                0.88202,                0.98472,                0.92607,                0.74455,                0.72921,                 64.569,                0.72573,              0.0086584,              0.0086584,              0.0086584
                     27,                0.64177,                0.33822,                0.80957,                0.87995,                0.98742,                0.93299,                0.74883,                0.73609,                 64.601,                0.72667,              0.0085502,              0.0085502,              0.0085502
