                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5717,                 1.6992,                0.97355,                0.84906,                0.93552,                0.91645,                 0.6688,                0.93169,                 26.517,                0.75777,               0.070019,              0.0033312,              0.0033312
                      2,                 1.2133,                0.76291,                0.86767,                0.87305,                0.95568,                0.90788,                0.67074,                0.89711,                  35.71,                0.75721,               0.040018,              0.0066629,              0.0066629
                      3,                   1.19,                0.70749,                0.86193,                0.86914,                0.96203,                 0.9045,                0.66933,                0.86915,                 39.218,                 0.7516,                0.01001,              0.0099881,              0.0099881
                      4,                 1.1095,                0.64416,                0.85171,                 0.8738,                0.96913,                0.90102,                0.67583,                0.83974,                 50.551,                 0.7441,               0.009978,               0.009978,               0.009978
                      5,                 1.0344,                 0.5883,                0.84126,                 0.8769,                0.97346,                0.91364,                 0.7048,                0.81042,                 43.692,                0.74003,               0.009978,               0.009978,               0.009978
                      6,                0.98841,                0.55212,                 0.8363,                0.87567,                0.97217,                0.92441,                0.72032,                 0.7698,                 42.336,                0.73696,               0.009961,               0.009961,               0.009961
                      7,                0.96017,                0.53145,                0.83195,                0.87838,                0.97605,                0.92078,                0.71862,                0.77526,                 54.313,                0.73336,              0.0099391,              0.0099391,              0.0099391
                      8,                0.93758,                0.51538,                0.82977,                0.87918,                0.97503,                0.91874,                0.71906,                0.79688,                 47.545,                0.73413,              0.0099123,              0.0099123,              0.0099123
                      9,                0.92257,                0.50238,                0.82717,                0.87654,                0.97779,                 0.9183,                0.71896,                0.78006,                 46.615,                 0.7328,              0.0098808,              0.0098808,              0.0098808
                     10,                 0.9125,                  0.494,                0.82487,                0.87737,                0.97607,                0.90828,                0.72023,                0.75726,                 50.449,                0.73062,              0.0098445,              0.0098445,              0.0098445
                     11,                0.89325,                0.47939,                0.82281,                0.87829,                0.97781,                0.92452,                0.72022,                0.77026,                 52.658,                0.73121,              0.0098035,              0.0098035,              0.0098035
                     12,                0.88852,                0.47585,                0.82197,                0.87877,                0.97848,                 0.9261,                0.72823,                 0.7665,                 51.539,                0.72913,              0.0097577,              0.0097577,              0.0097577
                     13,                0.87794,                0.46961,                0.82091,                0.87807,                0.97928,                0.90761,                0.72141,                0.74183,                 50.793,                0.72816,              0.0097074,              0.0097074,              0.0097074
                     14,                0.86711,                0.46226,                0.81982,                0.87788,                0.97919,                0.89648,                0.71948,                0.72709,                 51.874,                0.72666,              0.0096524,              0.0096524,              0.0096524
                     15,                0.86522,                0.45827,                 0.8187,                0.87981,                0.97889,                0.91466,                0.73162,                0.73733,                 52.414,                 0.7273,              0.0095929,              0.0095929,              0.0095929
                     16,                0.85974,                0.45342,                0.81737,                0.87655,                0.98338,                0.89842,                0.71735,                0.75144,                 57.077,                0.72958,              0.0095289,              0.0095289,              0.0095289
                     17,                0.85353,                0.44808,                0.81856,                0.88082,                0.98153,                0.93725,                 0.7481,                0.75609,                 50.272,                 0.7288,              0.0094605,              0.0094605,              0.0094605
                     18,                0.84374,                0.44332,                0.81579,                0.87943,                0.98055,                0.92695,                0.74643,                0.72731,                  56.27,                0.72492,              0.0093877,              0.0093877,              0.0093877
                     19,                0.84238,                0.44127,                0.81606,                0.87977,                0.98198,                0.91215,                0.72927,                0.73874,                 55.108,                0.72638,              0.0093107,              0.0093107,              0.0093107
                     20,                0.84073,                0.43973,                0.81628,                0.87988,                0.98202,                0.94173,                0.76079,                0.72704,                 55.625,                0.72596,              0.0092294,              0.0092294,              0.0092294
                     21,                0.83301,                0.43601,                0.81441,                 0.8797,                0.98184,                0.93057,                 0.7453,                0.74916,                 53.958,                0.72616,               0.009144,               0.009144,               0.009144
                     22,                0.82745,                0.43156,                0.81487,                0.87892,                0.98339,                0.92653,                0.73774,                0.74871,                 55.662,                0.72636,              0.0090546,              0.0090546,              0.0090546
                     23,                0.83012,                0.43093,                 0.8143,                0.87992,                0.98277,                0.92045,                0.73971,                0.72424,                 53.933,                0.72401,              0.0089613,              0.0089613,              0.0089613
                     24,                0.82611,                0.43014,                0.81426,                0.87972,                0.98434,                0.94295,                0.75758,                0.73337,                 55.395,                0.72517,               0.008864,               0.008864,               0.008864
                     25,                0.81805,                0.42462,                0.81384,                0.88066,                0.98572,                0.95058,                0.76761,                0.72508,                 53.023,                0.72461,               0.008763,               0.008763,               0.008763
                     26,                0.81804,                0.42397,                0.81136,                0.88023,                0.98389,                0.95277,                0.76865,                 0.7293,                 55.914,                  0.724,              0.0086584,              0.0086584,              0.0086584
                     27,                0.81346,                0.41983,                0.81246,                0.88007,                0.98418,                0.95208,                0.76934,                0.72387,                 56.655,                0.72354,              0.0085502,              0.0085502,              0.0085502
                     28,                0.80915,                0.41916,                0.81205,                0.88006,                0.98344,                0.95374,                 0.7706,                0.71303,                  55.17,                0.72293,              0.0084385,              0.0084385,              0.0084385
                     29,                0.80611,                0.41652,                  0.811,                0.88149,                0.98284,                0.94964,                0.76564,                 0.7129,                  56.51,                0.72172,              0.0083235,              0.0083235,              0.0083235
                     30,                0.80059,                0.41349,                0.81079,                0.88227,                0.98081,                0.96561,                0.77945,                0.72323,                 57.307,                0.72412,              0.0082052,              0.0082052,              0.0082052
                     31,                  0.799,                0.41112,                0.81015,                 0.8812,                0.98437,                0.95538,                0.77446,                0.71027,                 56.914,                0.72262,              0.0080839,              0.0080839,              0.0080839
                     32,                0.79193,                0.40915,                0.80975,                0.88182,                0.98323,                 0.9642,                0.78107,                0.71521,                  56.71,                 0.7227,              0.0079595,              0.0079595,              0.0079595
                     33,                0.79401,                0.40798,                0.80954,                0.88129,                0.98377,                0.95902,                0.77685,                0.71334,                 56.474,                0.72238,              0.0078323,              0.0078323,              0.0078323
                     34,                0.78888,                0.40323,                0.80972,                0.88118,                0.98547,                0.95258,                0.77376,                0.71951,                 58.203,                0.72319,              0.0077023,              0.0077023,              0.0077023
