                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9093,                 2.1102,                 1.1598,                0.84839,                 0.9165,                0.90248,                0.57322,                  1.283,                 26.152,                0.81604,               0.070019,              0.0033312,              0.0033312
                      2,                 1.3859,                0.91781,                0.96131,                0.86345,                0.95094,                 0.8972,                0.63914,                 1.0515,                 32.039,                0.78548,               0.040018,              0.0066629,              0.0066629
                      3,                 1.3468,                0.83688,                0.94809,                0.86713,                0.94496,                0.89119,                0.56948,                 1.2453,                 41.688,                0.80759,                0.01001,              0.0099881,              0.0099881
                      4,                 1.2647,                0.76196,                0.93359,                0.86314,                0.95891,                0.89033,                0.58161,                  1.222,                  38.82,                0.80478,               0.009978,               0.009978,               0.009978
                      5,                 1.1851,                0.68248,                0.91604,                0.86978,                0.96284,                0.89077,                0.63803,                 1.0393,                 39.876,                0.77275,               0.009978,               0.009978,               0.009978
                      6,                 1.1219,                0.63582,                0.90548,                0.86987,                0.96887,                 0.9038,                 0.6079,                 1.1757,                  46.62,                0.78042,               0.009961,               0.009961,               0.009961
                      7,                 1.0845,                0.60924,                0.89836,                0.87077,                0.96774,                0.92822,                0.68662,                0.95372,                 45.326,                0.75615,              0.0099391,              0.0099391,              0.0099391
                      8,                 1.0399,                 0.5834,                0.88792,                0.87412,                0.96651,                0.89933,                0.66377,                0.93477,                 46.363,                0.75221,              0.0099123,              0.0099123,              0.0099123
                      9,                 1.0148,                0.56916,                0.88269,                0.87578,                 0.9714,                0.92688,                0.65576,                 1.0703,                 52.516,                0.76699,              0.0098808,              0.0098808,              0.0098808
                     10,                0.99395,                0.55514,                0.87824,                0.87401,                0.97338,                0.95639,                0.69235,                 1.0531,                 47.231,                0.76934,              0.0098445,              0.0098445,              0.0098445
                     11,                0.97616,                0.54313,                0.87443,                0.87445,                0.97276,                0.94079,                 0.6812,                 1.0101,                   48.8,                0.76071,              0.0098035,              0.0098035,              0.0098035
                     12,                0.96427,                  0.534,                0.87109,                 0.8736,                0.97241,                 0.9235,                0.71507,                0.81357,                  49.77,                0.73818,              0.0097577,              0.0097577,              0.0097577
                     13,                0.95371,                0.52703,                0.87059,                0.87469,                0.97396,                0.94243,                0.71463,                0.88201,                  49.02,                0.74547,              0.0097074,              0.0097074,              0.0097074
                     14,                0.93753,                0.51544,                0.86648,                0.87644,                0.97652,                0.89083,                0.66051,                0.94365,                 53.167,                0.75009,              0.0096524,              0.0096524,              0.0096524
                     15,                0.93303,                0.51224,                0.86551,                 0.8748,                0.97922,                0.92008,                 0.6987,                0.91595,                 50.324,                0.74995,              0.0095929,              0.0095929,              0.0095929
                     16,                0.91994,                0.50635,                0.86076,                 0.8755,                0.97738,                0.96254,                0.71675,                0.93444,                 53.964,                0.74686,              0.0095289,              0.0095289,              0.0095289
                     17,                0.91772,                0.50384,                0.85996,                0.87805,                0.97719,                0.94301,                0.72031,                 0.8627,                 52.164,                0.73818,              0.0094605,              0.0094605,              0.0094605
                     18,                0.90303,                0.49387,                0.85934,                0.87592,                 0.9782,                0.94423,                0.73314,                0.84124,                 53.526,                0.73772,              0.0093877,              0.0093877,              0.0093877
