                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3244,                 1.1135,                0.89751,                0.86065,                0.93356,                0.88771,                0.62716,                0.99867,                 32.055,                0.75601,               0.067021,             0.00033312,             0.00033312
                      2,                 1.0217,                0.62263,                0.84153,                 0.8732,                 0.9648,                0.89418,                0.68677,                0.79371,                 46.296,                0.73593,               0.034021,             0.00066629,             0.00066629
                      3,                 0.9601,                0.55617,                0.83122,                0.87692,                0.96751,                0.93221,                0.71857,                0.80397,                  42.86,                0.73253,              0.0010202,             0.00099881,             0.00099881
                      4,                0.92781,                0.52958,                0.82618,                0.87908,                 0.9698,                0.91788,                 0.7017,                0.83693,                 44.913,                0.73438,              0.0009978,              0.0009978,              0.0009978
                      5,                 0.9047,                0.51466,                0.82351,                0.87745,                0.97633,                0.94793,                0.74063,                0.78368,                 45.985,                0.73071,              0.0009978,              0.0009978,              0.0009978
                      6,                0.89631,                0.49232,                0.82292,                0.87778,                0.97533,                0.91066,                0.70348,                0.82141,                 47.455,                0.73356,              0.0009961,              0.0009961,              0.0009961
                      7,                0.88461,                0.48866,                0.82101,                0.88026,                 0.9763,                0.92951,                0.72746,                  0.778,                 48.644,                0.72885,             0.00099391,             0.00099391,             0.00099391
                      8,                0.87101,                0.48044,                0.82087,                0.87901,                0.97558,                0.93928,                0.74501,                0.74978,                 46.924,                0.72614,             0.00099123,             0.00099123,             0.00099123
                      9,                 0.8594,                0.47247,                0.81876,                0.88026,                0.97829,                0.94077,                0.74927,                0.74388,                 53.397,                0.72492,             0.00098808,             0.00098808,             0.00098808
                     10,                0.85451,                0.46498,                0.81749,                0.87931,                0.97876,                0.95935,                0.76379,                0.74576,                 48.653,                0.72558,             0.00098445,             0.00098445,             0.00098445
                     11,                0.84576,                0.45794,                0.81688,                 0.8784,                0.97961,                0.92962,                0.73861,                 0.7636,                 51.867,                0.72679,             0.00098035,             0.00098035,             0.00098035
                     12,                0.84358,                0.45818,                0.81641,                0.87982,                0.97973,                0.94239,                0.75223,                0.75817,                 51.919,                0.72583,             0.00097577,             0.00097577,             0.00097577
                     13,                0.84121,                0.45395,                0.81635,                 0.8803,                0.97995,                  0.931,                0.74304,                0.72935,                 52.929,                0.72352,             0.00097074,             0.00097074,             0.00097074
                     14,                 0.8295,                0.44391,                0.81395,                0.88052,                0.98165,                0.93781,                0.75481,                0.73515,                 53.998,                0.72441,             0.00096524,             0.00096524,             0.00096524
                     15,                0.82789,                0.44439,                0.81423,                0.88146,                0.97996,                0.95051,                 0.7591,                0.74703,                 50.544,                0.72472,             0.00095929,             0.00095929,             0.00095929
                     16,                0.82172,                0.43645,                0.81238,                0.88038,                0.98148,                0.94023,                0.75155,                0.74468,                 54.751,                0.72436,             0.00095289,             0.00095289,             0.00095289
