                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5927,                 2.2959,                0.99285,                0.86581,                0.93534,                0.91932,                0.67323,                0.91248,                 32.987,                0.75974,              0.0033312,              0.0033312,              0.0033312
                      2,                 1.1691,                0.96296,                 0.8629,                0.87317,                0.96289,                0.88413,                0.63415,                0.94773,                 39.894,                0.76492,              0.0066629,              0.0066629,              0.0066629
                      3,                 1.1564,                0.77239,                0.85795,                0.87481,                0.96541,                0.91253,                0.67687,                0.90172,                 55.991,                0.74787,              0.0099881,              0.0099881,              0.0099881
                      4,                  1.077,                0.63904,                0.84667,                0.87181,                0.96651,                0.89907,                 0.6845,                0.83744,                 44.833,                0.74315,               0.009978,               0.009978,               0.009978
                      5,                  1.004,                0.57256,                 0.8366,                 0.8782,                 0.9687,                0.93433,                 0.7238,                0.81777,                 40.456,                0.74303,               0.009978,               0.009978,               0.009978
                      6,                 0.9578,                0.53671,                0.83204,                0.87794,                  0.978,                0.90323,                0.70582,                0.79727,                 44.093,                0.73691,               0.009961,               0.009961,               0.009961
                      7,                0.93279,                0.51687,                0.82773,                0.87568,                0.97589,                0.94263,                0.73292,                0.79622,                 47.317,                0.73481,              0.0099391,              0.0099391,              0.0099391
                      8,                 0.9146,                0.50205,                0.82679,                0.87871,                 0.9789,                0.93401,                0.73948,                0.74695,                 50.287,                  0.731,              0.0099123,              0.0099123,              0.0099123
                      9,                0.89634,                0.49175,                 0.8239,                0.87728,                0.97795,                0.94913,                0.74843,                0.76971,                 51.913,                 0.7303,              0.0098808,              0.0098808,              0.0098808
                     10,                0.88472,                0.48163,                0.82214,                0.88001,                0.97887,                0.93032,                0.74494,                0.74121,                 48.222,                0.72801,              0.0098445,              0.0098445,              0.0098445
                     11,                0.86907,                0.46916,                0.82103,                0.87902,                0.97933,                 0.9365,                0.73795,                0.78261,                 50.085,                0.73276,              0.0098035,              0.0098035,              0.0098035
                     12,                0.86437,                0.46759,                0.81943,                0.87914,                0.97951,                0.96674,                 0.7753,                0.73824,                 48.091,                0.72722,              0.0097577,              0.0097577,              0.0097577
                     13,                 0.8584,                0.46093,                0.81923,                0.87723,                0.98071,                0.96876,                0.77313,                0.73922,                 50.632,                0.72808,              0.0097074,              0.0097074,              0.0097074
                     14,                0.84727,                0.45524,                0.81704,                0.88006,                0.98294,                0.96334,                 0.7787,                0.71312,                 52.769,                0.72508,              0.0096524,              0.0096524,              0.0096524
                     15,                0.84271,                0.44953,                0.81679,                0.88018,                0.98203,                0.97079,                0.78316,                0.71707,                 51.672,                0.72416,              0.0095929,              0.0095929,              0.0095929
                     16,                0.83436,                0.44452,                0.81487,                0.87955,                0.98222,                0.97133,                0.77898,                 0.7337,                 52.719,                0.72499,              0.0095289,              0.0095289,              0.0095289
                     17,                0.82815,                0.44208,                0.81487,                0.87916,                0.98302,                0.95263,                0.76407,                0.73659,                 51.836,                0.72579,              0.0094605,              0.0094605,              0.0094605
                     18,                 0.8218,                0.43448,                0.81373,                   0.88,                0.98266,                0.93859,                 0.7593,                0.71752,                 53.424,                0.72526,              0.0093877,              0.0093877,              0.0093877
                     19,                 0.8192,                0.43422,                0.81382,                0.87957,                0.98279,                0.93812,                0.75892,                0.71981,                 55.624,                0.72507,              0.0093107,              0.0093107,              0.0093107
                     20,                0.81342,                 0.4296,                0.81248,                0.87942,                0.98304,                  0.948,                0.76373,                0.73262,                 53.983,                0.72649,              0.0092294,              0.0092294,              0.0092294
                     21,                0.81009,                0.42815,                0.81283,                0.87972,                0.98388,                0.95191,                0.77108,                0.71848,                 54.122,                0.72463,               0.009144,               0.009144,               0.009144
                     22,                0.80452,                0.42441,                 0.8121,                0.88056,                 0.9839,                0.97086,                0.78303,                0.72591,                 55.726,                0.72492,              0.0090546,              0.0090546,              0.0090546
                     23,                0.80258,                0.42524,                0.81191,                0.88101,                0.98411,                 0.9568,                0.76887,                 0.7274,                 53.482,                0.72396,              0.0089613,              0.0089613,              0.0089613
                     24,                0.79934,                0.42116,                 0.8115,                0.87905,                0.98531,                0.96718,                0.78355,                0.72659,                 57.148,                0.72397,               0.008864,               0.008864,               0.008864
                     25,                0.78889,                0.41494,                0.81086,                0.88213,                0.98347,                0.96572,                0.77926,                 0.7258,                 57.978,                0.72369,               0.008763,               0.008763,               0.008763
                     26,                0.78739,                0.41445,                0.80998,                 0.8803,                0.98623,                 0.9582,                0.77616,                0.71847,                 54.813,                0.72303,              0.0086584,              0.0086584,              0.0086584
