                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5991,                 2.3065,                 0.9948,                0.95695,                0.93406,                0.95632,                0.69852,                 1.0417,                0.86219,                 0.8456,              0.0033312,              0.0033312,              0.0033312
                      2,                 1.1686,                0.96473,                0.86281,                0.97487,                0.95795,                0.97536,                0.71786,                 1.0088,                0.66433,                0.84137,              0.0065985,              0.0065985,              0.0065985
                      3,                 1.1516,                0.77192,                0.85736,                0.97638,                0.96479,                0.97767,                0.71601,                 1.0477,                0.59778,                0.84298,              0.0097999,              0.0097999,              0.0097999
                      4,                 1.0739,                0.63968,                0.84605,                0.98298,                0.96767,                0.98073,                0.73943,                0.97016,                0.51363,                0.82861,               0.009703,               0.009703,               0.009703
                      5,                 1.0037,                0.57311,                0.83657,                0.98699,                0.96991,                0.98292,                0.76821,                0.88197,                0.48261,                0.82127,               0.009703,               0.009703,               0.009703
                      6,                0.95746,                0.53533,                0.83185,                0.98771,                 0.9719,                 0.9838,                0.76521,                0.90044,                0.47423,                0.81912,               0.009604,               0.009604,               0.009604
                      7,                 0.9296,                0.51622,                 0.8277,                0.98686,                0.97511,                0.98534,                0.77992,                0.85355,                0.47021,                0.81202,               0.009505,               0.009505,               0.009505
                      8,                0.91081,                0.50087,                0.82632,                0.98729,                0.97676,                0.98649,                 0.7813,                0.85844,                0.45226,                0.81347,               0.009406,               0.009406,               0.009406
                      9,                0.89273,                0.48845,                0.82356,                 0.9869,                0.97799,                0.98639,                0.78511,                0.83973,                0.45476,                0.81117,               0.009307,               0.009307,               0.009307
                     10,                0.88298,                 0.4794,                0.82171,                0.99042,                0.98036,                 0.9884,                0.79383,                0.81509,                0.44059,                0.80647,               0.009208,               0.009208,               0.009208
                     11,                0.86438,                0.46711,                 0.8204,                0.98916,                0.97953,                0.98769,                 0.7819,                0.84959,                0.43826,                0.81249,               0.009109,               0.009109,               0.009109
                     12,                0.86036,                0.46385,                0.81902,                0.98916,                0.97872,                 0.9877,                0.79804,                 0.8147,                0.43042,                 0.8064,                0.00901,                0.00901,                0.00901
                     13,                0.85355,                 0.4577,                0.81867,                0.98923,                0.97978,                 0.9884,                0.78952,                0.81749,                0.42547,                0.80639,               0.008911,               0.008911,               0.008911
                     14,                0.84326,                0.45161,                0.81636,                0.99087,                0.98134,                0.98869,                0.79604,                0.80308,                0.41275,                 0.8051,               0.008812,               0.008812,               0.008812
                     15,                0.83712,                0.44712,                 0.8162,                0.99037,                0.98021,                0.98829,                0.79768,                0.81381,                0.41448,                0.80542,               0.008713,               0.008713,               0.008713
                     16,                0.83197,                0.44214,                0.81414,                0.99066,                0.97924,                0.98839,                0.79539,                 0.8131,                0.42321,                0.80523,               0.008614,               0.008614,               0.008614
                     17,                0.82657,                 0.4402,                0.81462,                0.98953,                0.98262,                0.98922,                0.79454,                0.82269,                0.41586,                0.80577,               0.008515,               0.008515,               0.008515
