                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0036,                 1.6051,                 1.4825,                0.77821,                0.81421,                0.83686,                0.79173,                 1.5828,                 1.4364,                 2.4656,               0.003329,               0.003329,               0.003329
                      2,                0.57071,                0.85179,                 1.1261,                 0.9612,                0.86926,                 0.9055,                0.82625,                  1.517,                0.99116,                  2.427,              0.0065964,              0.0065964,              0.0065964
                      3,                0.56341,                0.72878,                 1.1058,                  0.961,                0.89094,                0.93877,                 0.8569,                 1.5436,                0.92748,                 2.5032,              0.0097978,              0.0097978,              0.0097978
                      4,                0.52488,                0.62496,                 1.0735,                 0.9786,                0.91992,                0.94419,                0.87273,                 1.4359,                0.76813,                 2.3446,               0.009703,               0.009703,               0.009703
                      5,                0.47931,                0.55823,                 1.0456,                0.97575,                0.93191,                0.95345,                0.88883,                 1.3781,                0.65814,                 2.3673,               0.009703,               0.009703,               0.009703
                      6,                0.44955,                 0.5196,                  1.028,                0.97998,                0.93265,                0.95163,                0.88636,                  1.374,                0.65898,                 2.4387,               0.009604,               0.009604,               0.009604
                      7,                0.42855,                0.49701,                 1.0156,                0.99693,                0.92803,                0.95642,                0.91127,                 1.3391,                 0.7008,                 2.4335,               0.009505,               0.009505,               0.009505
                      8,                0.41257,                0.47886,                  1.006,                0.98521,                0.93809,                 0.9545,                0.91356,                  1.324,                0.64801,                 2.4902,               0.009406,               0.009406,               0.009406
                      9,                0.39918,                0.46503,                0.99821,                0.99432,                0.91959,                 0.9568,                0.91219,                 1.3077,                0.65396,                 2.4878,               0.009307,               0.009307,               0.009307
                     10,                0.38872,                0.45433,                0.99093,                0.99321,                0.94039,                0.95805,                0.91581,                 1.3041,                0.62173,                 2.3984,               0.009208,               0.009208,               0.009208
                     11,                0.38075,                0.44899,                0.98867,                0.99253,                0.94352,                0.95801,                0.92233,                 1.2895,                0.57163,                 2.3484,               0.009109,               0.009109,               0.009109
                     12,                0.37257,                0.43854,                0.98178,                 0.9941,                0.94478,                0.95957,                0.92759,                 1.2767,                0.59727,                 2.4503,                0.00901,                0.00901,                0.00901
                     13,                0.36679,                0.43249,                0.97864,                0.97824,                0.94576,                0.95676,                0.92263,                 1.2968,                0.62075,                 2.6132,               0.008911,               0.008911,               0.008911
                     14,                0.35884,                0.42535,                0.97519,                0.99324,                0.94656,                0.95751,                0.92346,                 1.2629,                0.58093,                 2.4012,               0.008812,               0.008812,               0.008812
                     15,                0.35379,                0.41994,                0.97212,                0.98918,                  0.946,                0.95949,                 0.9233,                 1.2506,                0.57934,                 2.4837,               0.008713,               0.008713,               0.008713
                     16,                0.34816,                0.41316,                0.96889,                0.99568,                0.94929,                0.96106,                0.93109,                 1.2557,                0.56253,                 2.4687,               0.008614,               0.008614,               0.008614
                     17,                0.34358,                0.41335,                0.96696,                 0.9949,                0.94961,                0.95897,                0.93489,                 1.2404,                0.55346,                 2.5082,               0.008515,               0.008515,               0.008515
                     18,                0.33847,                0.40706,                0.96451,                0.99641,                0.94757,                 0.9635,                0.93322,                 1.2506,                0.57715,                 2.3404,               0.008416,               0.008416,               0.008416
                     19,                0.33636,                 0.4055,                0.96338,                0.99646,                0.94867,                0.95933,                0.93366,                 1.2271,                0.53989,                 2.4348,               0.008317,               0.008317,               0.008317
                     20,                0.33247,                0.40189,                0.95948,                0.99537,                0.94906,                0.95904,                0.93635,                 1.2205,                0.55068,                 2.5912,               0.008218,               0.008218,               0.008218
                     21,                0.32784,                  0.398,                0.95921,                0.99393,                0.94965,                0.95959,                 0.9349,                 1.2137,                0.55528,                 2.6175,               0.008119,               0.008119,               0.008119
                     22,                0.32529,                0.39542,                0.95701,                0.99526,                0.95047,                0.96162,                0.93498,                 1.2149,                0.57966,                 2.5001,                0.00802,                0.00802,                0.00802
                     23,                 0.3225,                0.39288,                0.95521,                0.99442,                0.95192,                0.96019,                0.93574,                 1.2259,                0.56258,                 2.5638,               0.007921,               0.007921,               0.007921
                     24,                0.32003,                0.39132,                0.95505,                0.99599,                0.95104,                0.96033,                 0.9391,                 1.2098,                0.56344,                 2.5061,               0.007822,               0.007822,               0.007822
                     25,                0.31888,                0.39224,                0.95605,                0.99499,                0.95175,                0.96083,                0.93952,                 1.2096,                0.55903,                  2.577,               0.007723,               0.007723,               0.007723
                     26,                0.31523,                0.38567,                0.95101,                0.99572,                 0.9508,                0.95948,                0.93774,                  1.214,                0.55826,                 2.4801,               0.007624,               0.007624,               0.007624
                     27,                0.31383,                0.38743,                0.95255,                0.99663,                0.95275,                0.96022,                0.94028,                 1.1993,                 0.5499,                 2.5624,               0.007525,               0.007525,               0.007525
                     28,                0.31002,                0.38351,                0.95036,                0.99568,                0.95212,                0.96119,                0.94186,                 1.1993,                0.55467,                 2.5481,               0.007426,               0.007426,               0.007426
                     29,                 0.3076,                0.38027,                0.94926,                0.99585,                0.95365,                0.96065,                0.94268,                 1.1907,                0.53602,                 2.4744,               0.007327,               0.007327,               0.007327
